i	 name	 link	 obj	 typ	 ref	 lev	 normal	 adr	 
1	 a	 0	 101	 105	 0	 1	 0	 10	 
2	 ch	 1	 101	 106	 0	 1	 0	 51	 
3	 w	 2	 102	 105	 0	 1	 1	 0	 
4	 x	 3	 102	 105	 0	 1	 1	 4	 
5	 num	 4	 102	 105	 0	 1	 1	 8	 
6	 y	 5	 102	 105	 0	 1	 1	 12	 
7	 z	 6	 102	 105	 0	 1	 1	 16	 
8	 n	 7	 102	 105	 0	 1	 1	 20	 
9	 t	 8	 102	 109	 1	 1	 1	 24	 
10	 print	 9	 103	 108	 2	 1	 1	 0	 
11	 x	 0	 109	 105	 0	 2	 0	 -16	 
12	 f	 11	 104	 105	 3	 1	 1	 2	 
13	 x	 0	 109	 105	 0	 2	 1	 -16	 
14	 j	 13	 102	 105	 0	 2	 1	 0	 
15	 z	 14	 102	 105	 0	 2	 1	 4	 
16	 null	 15	 103	 108	 4	 2	 1	 1	 
17	 qq	 0	 109	 105	 0	 3	 1	 -24	 
18	 o	 17	 109	 105	 0	 3	 1	 -20	 
19	 $0	 15	 100	 0	 0	 2	 1	 8	 
20	 $1	 19	 100	 0	 0	 2	 1	 12	 
21	 $2	 20	 100	 0	 0	 2	 1	 16	 
22	 $3	 21	 100	 105	 0	 2	 1	 20	 
23	 $4	 22	 100	 0	 0	 2	 1	 24	 
24	 $5	 23	 100	 0	 0	 2	 1	 28	 
25	 fac	 24	 104	 105	 5	 1	 1	 7	 
26	 num	 0	 109	 105	 0	 2	 1	 -16	 
27	 $6	 26	 100	 105	 0	 2	 1	 0	 
28	 $7	 27	 100	 0	 0	 2	 1	 4	 
29	 $8	 28	 100	 105	 0	 2	 1	 8	 
30	 $9	 9	 100	 0	 0	 1	 1	 64	 
31	 $10	 30	 100	 105	 0	 1	 1	 68	 
