i	 name	 link	 obj	 typ	 ref	 lev	 normal	 adr	 
1	 a	 0	 101	 105	 0	 1	 0	 10	 
2	 ch	 1	 101	 106	 0	 1	 0	 51	 
3	 w	 2	 102	 105	 0	 1	 1	 0	 
4	 x	 3	 102	 105	 0	 1	 1	 4	 
5	 num	 4	 102	 105	 0	 1	 1	 8	 
6	 y	 5	 102	 105	 0	 1	 1	 12	 
7	 z	 6	 102	 105	 0	 1	 1	 16	 
8	 n	 7	 102	 105	 0	 1	 1	 20	 
9	 t	 8	 102	 107	 1	 1	 1	 24	 
10	 fac	 9	 104	 105	 2	 1	 1	 0	 
11	 num	 0	 109	 105	 0	 2	 1	 -16	 
12	 $0	 11	 100	 105	 0	 2	 1	 0	 
13	 $1	 12	 100	 0	 0	 2	 1	 4	 
14	 $2	 13	 100	 105	 0	 2	 1	 8	 
15	 $3	 9	 100	 0	 0	 1	 1	 64	 
