i	 name	 link	 obj	 typ	 ref	 lev	 normal	 adr	 
1	 a	 0	 101	 105	 0	 1	 0	 0	 
2	 ch	 1	 101	 106	 0	 1	 0	 0	 
3	 w	 2	 102	 105	 0	 1	 1	 0	 
4	 x	 3	 102	 105	 0	 1	 1	 0	 
5	 num	 4	 102	 105	 0	 1	 1	 0	 
6	 y	 5	 102	 105	 0	 1	 1	 0	 
7	 z	 6	 102	 105	 0	 1	 1	 0	 
8	 n	 7	 102	 105	 0	 1	 1	 0	 
9	 t	 8	 102	 107	 1	 1	 1	 0	 
10	 print	 9	 103	 108	 2	 1	 1	 0	 
11	 x	 0	 109	 105	 0	 2	 0	 0	 
12	 f	 11	 104	 105	 3	 1	 1	 0	 
13	 x	 0	 109	 105	 0	 2	 1	 0	 
14	 j	 13	 102	 105	 0	 2	 1	 0	 
15	 z	 14	 102	 105	 0	 2	 1	 0	 
16	 null	 15	 103	 108	 4	 2	 1	 0	 
17	 qq	 0	 109	 105	 0	 3	 1	 0	 
18	 o	 17	 109	 105	 0	 3	 1	 0	 
19	 fac	 18	 104	 105	 5	 1	 1	 0	 
20	 num	 0	 109	 105	 0	 2	 1	 0	 
